Code,market_cap,price,gross_margin,ps_ratio,rd_intensity,rev_growth
000240,1793221200.0,22700.0,0.38195492493194083,1.7403709999097143,,0.2765316148159028
204320,1735674287.4074075,33650.0,0.14955043891883035,0.2648182781460281,,0.05422260982355469
139480,1729337990.6666667,75100.0,0.3115389451914001,0.08044569740880786,,-0.01531444208895438
007070,1684534583.7037036,16460.0,0.2466827775667368,0.19826280230506943,,0.01986076549984209
007340,1664309048.8888888,23050.0,0.26109695209026906,0.6541824326734418,,0.05056191898658964
282330,1640050636.0,107100.0,0.18689054596255408,0.2545269673815006,,0.06150318746748246
004370,1633302018.5185184,437000.0,0.28078446042797617,0.641212649681955,,0.008260079273049241
073240,1587379067.4222221,4735.0,0.3049856975770408,0.4728326594774547,,0.12143422822163237
008770,1508872207.3333333,53300.0,,0.5160102704088315,,0.1062322025069094
002790,1404565084.4444444,26600.0,0.718188075362712,0.4451204918459415,,0.059319401688188216
020150,1369259884.3703704,22900.0,0.01270055358210691,2.0487633194865955,,0.11525990736789346
103140,1353468833.7777777,122100.0,0.13523475790037753,0.40118969131374554,,0.1040291028314326
007810,1327038306.6666667,16700.0,0.01280533175100556,1.2733169932438733,,0.05608782278746333
475150,1294546152.0,21900.0,0.17001110257047206,4.384635868985139,,
000120,1263972837.925926,84700.0,0.11444159802234066,0.14082668713824964,,0.02964570329012373
011210,1259031620.3703704,48100.0,0.06568982870559496,0.20776388859348485,,0.0018743308038950321
001740,1255569157.074074,4470.0,0.11230069785867856,0.22136034475553398,,0.027343204428428657
023590,1189599463.1111112,37400.0,0.16621255320586342,0.13813754653627214,,0.17966830869069073
006040,1144391603.7037036,44800.0,0.17957497327894692,0.17272904766010885,,-0.0004848615891133858
097230,1137052480.0,26800.0,0.05634312886473852,0.8139192878753655,,-0.12770660380107424
001120,1088151111.1111112,31850.0,0.09058095117904953,0.08829437008618873,,0.14628438994446244
006280,1076027165.4814816,131500.0,0.2868829051410735,0.8647203058327717,,0.03273496332702518
