Sym,Issuer Name,Cl,CUSIP,Value ($000),%,Shares,Principal,Option Type
ADPT,Adaptive Biotechnologies Corp,COMMON STOCK,00650F109,"29,050",0.2%,"2,092,969",,
DDOG,Datadog Inc,COMMON STOCK,23804L103,"26,752",0.2%,"226,622",,
NRIX,Nurix Therapeutics Inc,COMMON STOCK,67080M103,"26,677",0.2%,"1,721,135",,
AUR,Aurora Innovation Inc,COMMON STOCK,51774107,"26,577",0.2%,"6,450,763",,
KDK,Kodiak AI Inc,COMMON STOCK,500081104,"26,408",0.2%,"3,805,228",,
PSTG,Everpure Inc,COMMON STOCK,74624M102,"25,305",0.2%,"428,616",,
SDGR,Schrodinger Inc,COMMON STOCK,80810D103,"23,482",0.2%,"2,067,135",,
PRME,Prime Medicine Inc,COMMON STOCK,74168J101,"21,738",0.2%,"6,246,827",,
IONS,Ionis Pharmaceuticals Inc,COMMON STOCK,462222100,"21,679",0.2%,"288,716",,
ARCT,Arcturus Therapeutics Holdings,COMMON STOCK,03969T109,"21,380",0.2%,"2,769,518",,
BFLY,Butterfly Network Inc,COMMON STOCK,124155102,"21,119",0.2%,"5,227,503",,
NFLX,Netflix Inc,COMMON STOCK,64110L106,"20,905",0.2%,"217,421",,
ABNB,Airbnb Inc,COMMON STOCK,9066101,"20,414",0.2%,"161,662",,
RBRK,Rubrik Inc,COMMON STOCK,781154109,"19,345",0.2%,"395,049",,
CMPS,Compass Pathways Plc,ADR,20451W101,"18,254",0.1%,"3,301,050",,
PONY,Pony AI Inc,ADR,732908108,"18,182",0.1%,"1,926,151",,
GTLB,Gitlab Inc,COMMON STOCK,37637K108,"17,893",0.1%,"826,885",,
ALCC,Oklo Inc,COMMON STOCK,02156V109,"17,414",0.1%,"351,169",,
NU,NU Holdings Ltd,COMMON STOCK,G6683N103,"16,823",0.1%,"1,170,765",,
GENI,Genius Sports Ltd,COMMON STOCK,G3934V109,"14,757",0.1%,"3,331,190",,
SE,Sea Ltd,ADR,81141R100,"14,331",0.1%,"173,066",,
GRMN,Garmin Ltd,COMMON STOCK,H2906T109,"12,458",0.1%,"53,700",,
THAR,Canton Strategic Holdings Inc,COMMON STOCK,432705309,"12,082",0.1%,"3,695,084",,
HEI,HEICO Corp,COMMON STOCK,422806109,"11,993",0.1%,"43,741",,
MASS,908 Devices Inc,COMMON STOCK,65443P102,"11,913",0.1%,"1,946,685",,
LLY,Eli Lilly & Co,COMMON STOCK,532457108,"11,658",0.1%,"12,676",,
BNTX,BioNTech SE,ADR,09075V102,"11,365",0.1%,"127,878",,
ETOR,Etoro Group Ltd,COMMON STOCK,G32089107,"10,578",0.1%,"352,252",,
KLAR,Klarna Group PLC,COMMON STOCK,G5279N105,"10,186",0.1%,"778,161",,
HON,Honeywell International Inc,COMMON STOCK,438516106,"8,749",0.1%,"38,709",,
LMT,Lockheed Martin Corp,COMMON STOCK,539830109,"8,018",0.1%,"13,267",,
